,,,,,,,,,,,
Trial,Participant Characteristics,"Cigarettes per Day, mean (SD or range); median*","Years Smoking, mean (SD or range); median*","Treatment Duration, wk","Whole Study Duration, mo",Arm,Cotreatment,"Age, mean (SD or range); median*","Male, %",n,Reported CV Outcomes
Nicotine Replacement Therapy,,,,,,,,,,,
"Tønnesen
et al,30 2012",Healthy,22.7 (8.8),NR,52,NR,Placebo,Counseling,46.2 (11.3),54.7,161,Myocardial infarction
,,,,,,Spray 1 mg,Counseling,47.0 (10.9),56.9,318,
"Thomsen
et al,31 2010","Breast cancer
surgery",NR,NR,2,12,Placebo,Counseling,56.5 (36–82),0,62,CVD event
,,,,,,NRT,Counseling,57.5 (35–79),0,58,
"Shiffman
et al,32 2009",Healthy,25 (8),26 (12),12,6,Placebo 2 mg,Counseling,42.2 (13.3),34.5,817,Heart rate
,,,,,,Gum 2 mg,Counseling,42.1 (13.0),37.2,819,
,,,,,,Placebo 4 mg,Counseling,46.3 (11.4),47.8,830,
,,,,,,Gum 4 mg,Counseling,46.1 (11.3),52.4,830,
"Oncken
et al,33 2007","Postmenopausal
women",21 (8),33 (10),12,12,Placebo,"Group
counseling",56.6 (6.9),0,95,"Hospitalized
chest pain"
,,,,,,Patch 21 mg,"Group
counseling",54.0 (6.9),0,57,
"Wennike
et al,34 2003",Healthy,24 (7),29 (9),52,24,Placebo 2 mg,,44.0 (10.0),41,68,"Heart
palpitations"
,,,,,,Gum 2 mg,,45.0 (10.0),35,65,
,,,,,,Placebo 4 mg,,44.0 (10.0),41,138,
,,,,,,Gum 4 mg,,45.0 (10.0),35,140,
"Etter et al,35
2002",Healthy,30 (10),≥3,24,6,Placebo,,41.7,49,269,Stroke
,,,,,,No treatment,,42.9,44,389,
,,,,,,"NRT 2, 15,
0.5 mg",,43.2,54,265,
"Glover et al,36
2002",Healthy,29 (16),25 (11),12–24,12,Placebo,,41.8 (11.6),44.6,121,Atherosclerotic CVD
,,,,,,Tablet 2 mg,,43.9 (10.0),47.5,120,
"Wallström
et al,37 2000",Healthy,19 (6),26 (10),12–24,12,Placebo,,44.7 (11.4),45.2,124,Atrial fibrillation
,,,,,,Tablet 2 mg,,44.5 (11.6),36.6,123,
,,,,,,Gum 4 mg,,41.4 (11.7),51.7,203,
"Hays et al,38
1999",Healthy,≥15,26 (12),6,6,Placebo,,44.1 (11.6),52.5,322,"Acute myocardial
infarction"
,,,,,,Patch 22 mg,,43.5 (11.2),48.6,321,
